text,label
City implements safety campaign,0
New law bans time travel,1
Secret time travel exposed,1
SHOCKING: miracle cure revealed - doctors amazed,1
Celebrity reveals secret society,1
Community organizes educational program,0
Research confirms education reform benefits rural communities,0
Research confirms education reform benefits urban areas,0
Scientist proves alien technology,1
Celebrity reveals government conspiracy,1
Community organizes fundraiser,0
New community center opens,0
New law bans secret society,1
Scientist proves mind control,1
New sports complex opens,0
Public transportation expands,0
Company announces expanded services,0
Scientist proves miracle cure,1
Celebrity reveals mind control,1
SHOCKING: alien technology revealed - doctors amazed,1
SHOCKING: miracle cure revealed - scientists stunned,1
Secret alien technology exposed,1
New park opens,0
BREAKING: miracle cure discovered - scientists stunned,1
Secret miracle cure exposed,1
Local nonprofit hosts event,0
SHOCKING: mind control revealed - doctors amazed,1
SHOCKING: mind control revealed - experts shocked,1
New law bans free energy,1
Company announces new technology,0
Study shows education reform improves health,0
URGENT: secret society happening now,1
Ancient miracle cure predicts alien invasion,1
BREAKING: secret society discovered - experts shocked,1
Research confirms education reform benefits school districts,0
Study shows economic growth improves safety,0
BREAKING: government conspiracy discovered - scientists stunned,1
Research demonstrates positive results,0
New library opens,0
Research demonstrates significant improvement,0
Study shows technology innovation improves health,0
Local hospital hosts event,0
Miracle government conspiracy cures obesity,1
Secret government conspiracy exposed,1
Study shows education reform improves education,0
Scientist proves free energy,1
Public healthcare expands,0
Ancient mind control predicts world war 3,1
URGENT: free energy happening now,1
Ancient alien technology predicts natural disaster,1
Scientist proves time travel,1
URGENT: government conspiracy happening now,1
School implements health initiative,0
Secret secret society exposed,1
Company announces improved facilities,0
Celebrity reveals alien technology,1
City implements health initiative,0
Celebrity reveals free energy,1
Miracle miracle cure cures diabetes,1
Ancient time travel predicts alien invasion,1
School implements safety campaign,0
BREAKING: alien technology discovered - doctors amazed,1
School implements literacy program,0
BREAKING: mind control discovered - scientists stunned,1
Study shows environmental protection improves safety,0
New law bans mind control,1
Ancient free energy predicts natural disaster,1
Ancient time travel predicts economic collapse,1
Community organizes cleanup,0
Miracle free energy cures heart disease,1
City implements literacy program,0
Government hiding secret society,1
Ancient secret society predicts world war 3,1
Study shows education reform improves safety,0
URGENT: mind control happening now,1
Research demonstrates notable progress,0
Miracle secret society cures diabetes,1
Secret mind control exposed,1
Celebrity reveals time travel,1
Celebrity reveals miracle cure,1
Scientist proves government conspiracy,1
New law bans alien technology,1
Secret free energy exposed,1
Government hiding mind control,1
Miracle free energy cures diabetes,1
Ancient government conspiracy predicts economic collapse,1
URGENT: alien technology happening now,1
SHOCKING: miracle cure revealed - experts shocked,1
Government hiding time travel,1
BREAKING: time travel discovered - experts shocked,1
Research confirms economic growth benefits school districts,0
BREAKING: secret society discovered - scientists stunned,1
SHOCKING: free energy revealed - experts shocked,1
Public safety expands,0
Government hiding miracle cure,1
Local school hosts event,0
Research confirms environmental protection benefits rural communities,0
Study shows economic growth improves environment,0
Government hiding free energy,1
BREAKING: free energy discovered - experts shocked,1
URGENT: time travel happening now,1
Research confirms economic growth benefits urban areas,0
URGENT: miracle cure happening now,1
BREAKING: alien technology discovered - scientists stunned,1
Ancient mind control predicts natural disaster,1
SHOCKING: secret society revealed - experts shocked,1
SHOCKING: government conspiracy revealed - doctors amazed,1
Scientist proves secret society,1
Local business hosts event,0
SHOCKING: alien technology revealed - experts shocked,1
Ancient secret society predicts alien invasion,1
SHOCKING: government conspiracy revealed - experts shocked,1
Miracle mind control cures obesity,1
New law bans miracle cure,1
Study finds Mediterranean diet improves heart health,0
Research confirms economic growth benefits rural communities,0
Research confirms environmental protection benefits urban areas,0
Study shows healthcare access improves education,0
Research confirms technology innovation benefits rural communities,0
SHOCKING: secret society revealed - scientists stunned,1
SHOCKING: alien technology revealed - scientists stunned,1
BREAKING: miracle cure discovered - experts shocked,1
Research confirms environmental protection benefits school districts,0
Ancient secret society predicts economic collapse,1
Miracle government conspiracy cures diabetes,1
Research confirms healthcare access benefits urban areas,0
Research confirms healthcare access benefits rural communities,0
Secret society exposed: They control the world economy,1
SHOCKING: free energy revealed - doctors amazed,1
"5G towers causing coronavirus outbreak, study claims",1
Ancient miracle cure predicts economic collapse,1
Study shows healthcare access improves health,0
Ancient time travel predicts natural disaster,1
Ancient free energy predicts world war 3,1
Public education expands,0
BREAKING: miracle cure discovered - doctors amazed,1
Study shows technology innovation improves safety,0
New law bans government conspiracy,1
Government hiding alien technology,1
Miracle mind control cures heart disease,1
Miracle alien technology cures heart disease,1
"Vaccines contain microchips for population tracking, documents reveal",1
SHOCKING: time travel revealed - doctors amazed,1
Miracle time travel cures heart disease,1
BREAKING: time travel discovered - doctors amazed,1
BREAKING: secret society discovered - doctors amazed,1
Miracle free energy cures obesity,1
Miracle mind control cures diabetes,1
Research confirms technology innovation benefits school districts,0
Research confirms healthcare access benefits school districts,0
SHOCKING: mind control revealed - scientists stunned,1
Miracle alien technology cures cancer,1
Miracle miracle cure cures obesity,1
Miracle government conspiracy cures heart disease,1
Study shows economic growth improves health,0
