text,label
"BREAKING: Alien invasion reported in New York! Government confirms extraterrestrial presence!",1
"Miracle cure for COVID-19 discovered in remote village - doctors amazed!",1
"Celebrity reveals secret weight loss pill that melts fat overnight",1
"Government announces free money for all citizens starting next week",1
"Secret society exposed: They control the world economy",1
"NASA discovers city lights on Mars - proof of intelligent life",1
"New law bans all private vehicles to fight climate change",1
"Vaccines contain microchips for population tracking, documents reveal",1
"Eating this one fruit burns belly fat instantly",1
"Billionaire gives away entire fortune to random strangers",1
"5G towers causing coronavirus outbreak, study claims",1
"Moon landing was faked - new evidence surfaces",1
"Drinking bleach cures COVID-19, according to leaked documents",1
"World ending in 2024 - prophet makes shocking prediction",1
"Free iPhone 15 for everyone who shares this post",1
"Scientists discover new planet that could support human life",0
"Stock market reaches all-time high amid economic recovery",0
"Local community raises funds for new public library",0
"Company announces 4-day work week for all employees",0
"Celebrity spotted shopping at local grocery store",0
"City council approves new public transportation plan",0
"Famous actor announces retirement from films",0
"New education policy focuses on digital literacy",0
"Research shows benefits of regular exercise for mental health",0
"Technology company reports strong quarterly earnings",0
"School district implements new STEM curriculum",0
"Local bakery wins national award for best pastries",0
"Park renovation completed ahead of schedule",0
"Study finds Mediterranean diet improves heart health",0
"New recycling program reduces landfill waste by 40%",0
"SHOCKING: President secretly arrested for treason - media blackout in effect",1
"One simple trick to double your income overnight",1
"Hollywood elite involved in child trafficking ring, insider claims",1
"Earth is flat and NASA has been lying to us for decades",1
"Miracle mineral supplement cures all known diseases",1
"Banks to collapse next week - withdraw your money now",1
"Celebrity death hoax spreads across social media",1
"Secret government experiment causes earthquake in California",1
"Drinking carrot juice reverses aging, scientists stunned",1
"Internet shutdown planned for entire country next month",1
"New smartphone app can detect cancer with 99% accuracy",1
"World famous scientist converts to flat earth theory",1
"All social media platforms to start charging monthly fees",1
"Leaked documents prove climate change is a hoax",1
"Alien artifact discovered in Egyptian pyramid",1
"Local farmers market expands to weekend operations",0
"University receives grant for cancer research",0
"New public park opens with community celebration",0
"Company launches mentorship program for young professionals",0
"City implements new bike sharing program",0
"Library announces summer reading program for children",0
"Local restaurant featured in national food magazine",0
"Community center offers free computer classes",0
"New study shows benefits of reading for cognitive health",0
"Public transportation system adds new routes",0
"Hospital recognized for excellence in patient care",0
"Local artists collaborate on mural project",0
"Company donates computers to local schools",0
"Food drive collects record amount of donations",0
"URGENT: Financial system collapse imminent - buy gold now",1
"Actress reveals secret to perfect skin without cosmetics",1
"Government to implant tracking chips in all newborns",1
"Scientist proves ghosts are real in groundbreaking study",1
"Free energy device invented - power companies terrified",1
"Ancient prophecy predicts major event next week",1
"Social media to ban all political discussions permanently",1
"Celebrity chef arrested in massive food poisoning scandal",1
"New law requires microchips in all pets nationwide",1
"Time travel successfully demonstrated in secret lab",1
"Photoshop can now detect if someone is lying, Adobe claims",1
"All gasoline vehicles to be banned by 2025",1
"Secret moon base revealed by whistleblower",1
"Drinking coffee causes cancer, new study finds",1
"Local museum hosts special exhibition on ancient civilizations",0
"Company recognized for environmental sustainability efforts",0
"New community garden provides fresh produce for residents",0
"School district reports improved test scores",0
"Local sports team wins championship title",0
"City launches initiative to support small businesses",0
"Public library expands digital resources collection",0
"Research team develops new water purification method",0
"Community volunteers clean up local park",0
"Company introduces flexible work from home policies",0
"New hospital wing opens with advanced medical equipment",0
"Local theater group announces new season lineup",0
"Food bank serves record number of families",0
"City improves internet infrastructure in rural areas",0
"BREAKING: Mainstream media caught in massive conspiracy cover-up",1
"One food you should never eat - doctors are shocked!",1
"Celebrity reveals they are actually an alien hybrid",1
"Government planning forced relocation of millions",1
"Miracle device generates electricity from air - energy companies furious",1
"Ancient civilization discovered under Antarctic ice",1
"All smartphones to be banned in schools nationwide",1
"Secret cancer cure suppressed by pharmaceutical companies",1
"Famous monument actually built by aliens, expert claims",1
"Internet to be permanently shut down for security reasons",1
"New app can read your mind with 100% accuracy",1
"World currency reset happening next month",1
"All plastic to be banned worldwide starting tomorrow",1
"Secret underground cities exist across the planet",1
"Local university partners with tech company for research",0
"Community organizes neighborhood watch program",0
"New sports complex opens with state-of-the-art facilities",0
"Company expands operations creating 200 new jobs",0
"City council approves funding for road improvements",0
"Local charity reaches fundraising goal for homeless shelter",0
"Public school system introduces coding curriculum",0
"Research confirms benefits of meditation for stress reduction",0
"Community celebrates annual cultural festival",0
"Company wins award for workplace diversity",0
"New public swimming pool opens for summer season",0
"Library launches mobile app for digital borrowing",0
"Local farmers adopt sustainable agriculture practices",0
"City reduces carbon emissions by 25% through green initiatives",0
"BJP party in india is the most corrupted, having all party members as criminals",1
