text,label
"BREAKING: Alien invasion reported in New York! Government confirms extraterrestrial presence!",1
"Miracle cure for COVID-19 discovered in remote village - doctors amazed!",1
"Celebrity reveals secret weight loss pill that melts fat overnight",1
"Government announces free money for all citizens starting next week",1
"Secret society exposed: They control the world economy",1
"NASA discovers city lights on Mars - proof of intelligent life",1
"New law bans all private vehicles to fight climate change",1
"Vaccines contain microchips for population tracking, documents reveal",1
"Eating this one fruit burns belly fat instantly",1
"Billionaire gives away entire fortune to random strangers",1
"5G towers causing coronavirus outbreak, study claims",1
"Moon landing was faked - new evidence surfaces",1
"Drinking bleach cures COVID-19, according to leaked documents",1
"World ending in 2024 - prophet makes shocking prediction",1
"Free iPhone 15 for everyone who shares this post",1
"Scientists discover new planet that could support human life",0
"Stock market reaches all-time high amid economic recovery",0
"Local community raises funds for new public library",0
"Company announces 4-day work week for all employees",0
"Celebrity spotted shopping at local grocery store",0
"City council approves new public transportation plan",0
"Famous actor announces retirement from films",0
"New education policy focuses on digital literacy",0
"Research shows benefits of regular exercise for mental health",0
"Technology company reports strong quarterly earnings",0
"School district implements new STEM curriculum",0
"Local bakery wins national award for best pastries",0
"Park renovation completed ahead of schedule",0
"Study finds Mediterranean diet improves heart health",0
"New recycling program reduces landfill waste by 40%",0
"SHOCKING: President secretly arrested for treason - media blackout in effect",1
"One simple trick to double your income overnight",1
"Hollywood elite involved in child trafficking ring, insider claims",1
"Earth is flat and NASA has been lying to us for decades",1
"Miracle mineral supplement cures all known diseases",1
"Banks to collapse next week - withdraw your money now",1
"Celebrity death hoax spreads across social media",1
"Secret government experiment causes earthquake in California",1
"Drinking carrot juice reverses aging, scientists stunned",1
"Internet shutdown planned for entire country next month",1
"New smartphone app can detect cancer with 99% accuracy",1
"World famous scientist converts to flat earth theory",1
"All social media platforms to start charging monthly fees",1
"Leaked documents prove climate change is a hoax",1
"Alien artifact discovered in Egyptian pyramid",1
"Local farmers market expands to weekend operations",0
"University receives grant for cancer research",0
"New public park opens with community celebration",0
"Company launches mentorship program for young professionals",0
"City implements new bike sharing program",0
"Library announces summer reading program for children",0
"Local restaurant featured in national food magazine",0
"Community center offers free computer classes",0
"New study shows benefits of reading for cognitive health",0
"Public transportation system adds new routes",0
"Hospital recognized for excellence in patient care",0
"Local artists collaborate on mural project",0
"Company donates computers to local schools",0
"Food drive collects record amount of donations",0
"URGENT: Financial system collapse imminent - buy gold now",1
"Actress reveals secret to perfect skin without cosmetics",1
"Government to implant tracking chips in all newborns",1
"Scientist proves ghosts are real in groundbreaking study",1
"Free energy device invented - power companies terrified",1
"Ancient prophecy predicts major event next week",1
"Social media to ban all political discussions permanently",1
"Celebrity chef arrested in massive food poisoning scandal",1
"New law requires microchips in all pets nationwide",1
"Time travel successfully demonstrated in secret lab",1
"Photoshop can now detect if someone is lying, Adobe claims",1
"All gasoline vehicles to be banned by 2025",1
"Secret moon base revealed by whistleblower",1
"Drinking coffee causes cancer, new study finds",1
"Local museum hosts special exhibition on ancient civilizations",0
"Company recognized for environmental sustainability efforts",0
"New community garden provides fresh produce for residents",0
"School district reports improved test scores",0
"Local sports team wins championship title",0
"City launches initiative to support small businesses",0
"Public library expands digital resources collection",0
"Research team develops new water purification method",0
"Community volunteers clean up local park",0
"Company introduces flexible work from home policies",0
"New hospital wing opens with advanced medical equipment",0
"Local theater group announces new season lineup",0
"Food bank serves record number of families",0
"City improves internet infrastructure in rural areas",0
"BREAKING: Mainstream media caught in massive conspiracy cover-up",1
"One food you should never eat - doctors are shocked!",1
"Celebrity reveals they are actually an alien hybrid",1
"Government planning forced relocation of millions",1
"Miracle device generates electricity from air - energy companies furious",1
"Ancient civilization discovered under Antarctic ice",1
"All smartphones to be banned in schools nationwide",1
"Secret cancer cure suppressed by pharmaceutical companies",1
"Famous monument actually built by aliens, expert claims",1
"Internet to be permanently shut down for security reasons",1
"New app can read your mind with 100% accuracy",1
"World currency reset happening next month",1
"All plastic to be banned worldwide starting tomorrow",1
"Secret underground cities exist across the planet",1
"Local university partners with tech company for research",0
"Community organizes neighborhood watch program",0
"New sports complex opens with state-of-the-art facilities",0
"Company expands operations creating 200 new jobs",0
"City council approves funding for road improvements",0
"Local charity reaches fundraising goal for homeless shelter",0
"Public school system introduces coding curriculum",0
"Research confirms benefits of meditation for stress reduction",0
"Community celebrates annual cultural festival",0
"Company wins award for workplace diversity",0
"New public swimming pool opens for summer season",0
"Library launches mobile app for digital borrowing",0
"Local farmers adopt sustainable agriculture practices",0
"City reduces carbon emissions by 25% through green initiatives",0
"BJP party in india is the most corrupted, having all party members as criminals",1
"SHOCKING: New study proves chocolate is better than exercise for weight loss",1
"Government secretly testing weather control technology",1
"Celebrity reveals they can communicate with animals",1
"All banks to be nationalized in secret government plan",1
"Miracle water from remote spring cures blindness",1
"Internet giants planning to delete all user data permanently",1
"Ancient manuscript predicts exact date of world war 3",1
"New law requires citizens to report neighbors for bonus",1
"Scientist discovers how to live forever - big pharma suppresses",1
"Social media platforms merging into one super app",1
"Secret military base on dark side of moon revealed",1
"Drinking soda causes immediate brain damage, study finds",1
"All schools to be replaced by online learning permanently",1
"Celebrity psychic predicts massive earthquake next month",1
"Government planning to ban all meat consumption",1
"Local business association hosts networking event",0
"New research center focuses on renewable energy solutions",0
"Community organizes beach cleanup initiative",0
"Company implements new employee wellness program",0
"City announces improvements to public safety services",0
"Local school wins national science competition",0
"Public art installation celebrates community diversity",0
"Research shows positive impact of community gardens",0
"Company receives innovation award for new product",0
"Library hosts author reading and book signing",0
"Local sports league expands to include youth programs",0
"City partners with nonprofits to address homelessness",0
"New business district attracts major retailers",0
"Community center offers free health screenings",0
"BREAKING: All smartphones to stop working next week - planned obsolescence",1
"One simple exercise melts belly fat in 3 days",1
"Government hiding evidence of time travelers among us",1
"Miracle berry allows humans to photosynthesize like plants",1
"Secret documents reveal aliens created human race",1
"All social media influencers are actually government agents",1
"New app can predict your death date with 99% accuracy",1
"Drinking tap water causes instant aging, scientists warn",1
"World leaders are actually reptilian shapeshifters",1
"Free luxury cars for everyone who likes this post",1
"Secret technology can read your thoughts through wifi",1
"All money becoming worthless next month - buy cryptocurrency",1
"Celebrity reveals secret government mind control program",1
"Ancient pyramid discovered under Amazon rainforest",1
"Internet to be replaced by new mysterious technology",1
"Local university expands scholarship programs",0
"Company develops eco-friendly packaging solution",0
"Community celebrates local heritage with festival",0
"New public walking trails open in nature reserve",0
"School implements successful anti-bullying program",0
"Local restaurant receives Michelin star recognition",0
"Public transportation introduces contactless payment",0
"Research confirms benefits of urban green spaces",0
"Company launches community outreach initiative",0
"Library expands hours to serve more residents",0
"Local sports facility upgrades equipment",0
"City implements successful waste reduction program",0
"Community garden yields record harvest",0
"New business incubator supports local entrepreneurs",0
"URGENT: Stock market crash planned for Friday - sell everything now",1
"Actress reveals secret government anti-aging program",1
"All electricity to be free starting next year",1
"Scientist proves dreams are actually parallel universes",1
"Secret society controls global weather patterns",1
"New law requires microchips in all food products",1
"Celebrity doctor reveals one food that causes cancer",1
"Government planning to ban all private property",1
"Miracle device can charge phones with body heat",1
"Ancient civilization had technology superior to ours",1
"All video games to be banned for causing violence",1
"Secret military technology can make soldiers invisible",1
"Drinking milk causes bone degeneration, new study shows",1
"Internet giants planning to charge per click",1
"Local museum receives national accreditation",0
"Company recognized for ethical business practices",0
"Community organizes successful blood drive",0
"New public safety campaign reduces accidents",0
"School district implements digital learning tools",0
"Local artists showcase work in gallery exhibition",0
"Public park adds new playground equipment",0
"Research demonstrates benefits of community policing",0
"Company expands with new regional office",0
"Library introduces literacy program for adults",0
"Local sports team makes playoff appearance",0
"City improves emergency response times",0
"Community center offers free legal aid clinic",0
"New housing development includes affordable units",0
"SHOCKING: Mainstream media completely fake - all news manufactured",1
"One vitamin big pharma doesn't want you to know about",1
"Government hiding portal to other dimensions",1
"Miracle sound frequency heals all diseases instantly",1
"Secret documents prove we live in simulation",1
"All celebrities are clones created by government",1
"New technology can erase bad memories permanently",1
"Drinking alcohol causes immediate DNA damage",1
"World currency to be replaced by social credit system",1
"Free college education for everyone announced",1
"Secret military project can control human emotions",1
"All traditional medicine to be banned worldwide",1
"Ancient texts predict technological apocalypse",1
"Internet to be controlled by single corporation",1
"Local business wins international export award",0
"Company develops breakthrough medical device",0
"Community celebrates local sports achievements",0
"New public infrastructure project creates jobs",0
"School implements successful nutrition program",0
"Local theater production receives critical acclaim",0
"Public library hosts technology workshop series",0
"Research shows economic benefits of tourism",0
"Company implements green energy initiatives",0
"Library partners with local schools for program",0
"Local sports complex hosts regional tournament",0
"City announces new public health initiative",0
"Community organization provides disaster relief",0
"New retail center boosts local economy",0
"BREAKING: All passwords leaked - change yours immediately",1
"Secret government program can predict lottery numbers",1
"One herb cures diabetes in 24 hours",1
"Celebrity reveals they are actually immortal",1
"Government planning to ban all religious practices",1
"Miracle fabric makes you invisible to cameras",1
"Ancient civilization had contact with aliens",1
"All personal data sold to highest bidder",1
"New app can translate animal languages",1
"Drinking juice from this fruit grants super strength",1
"World leaders planning to reduce population by 50%",1
"Secret technology can make you smarter overnight",1
"All private conversations being recorded",1
"Internet to require government ID for access",1
"Local university breaks ground on new research facility",0
"Company recognized for workplace safety record",0
"Community organizes successful charity auction",0
"New public safety app launched by city",0
"School district receives technology grant",0
"Local restaurant expands with second location",0
"Public park hosts community fitness classes",0
"Research confirms economic growth in region",0
"Company launches employee stock ownership plan",0
"Library introduces mobile book delivery service",0
"Local sports team community outreach program",0
"City improves public transportation accessibility",0
"Community center offers mental health resources",0
"New business park attracts technology companies",0
"URGENT: Global internet outage planned for 48 hours",1
"Actress reveals secret government youth serum",1
"All paper money becoming collector items only",1
"Scientist proves humans can breathe underwater",1
"Secret society controls global food supply",1
"New law requires daily health reports to government",1
"Celebrity chef reveals one ingredient that poisons food",1
"Government planning mandatory vaccination camps",1
"Miracle device can clean air in entire cities",1
"Ancient texts reveal location of Atlantis",1
"All personal vehicles to be confiscated",1
"Secret military technology can control weather",1
"Drinking bottled water causes plastic poisoning",1
"Internet companies planning to sell user memories",1
"Local museum expands with new interactive exhibits",0
"Company develops sustainable farming technology",0
"Community celebrates local cultural diversity",0
"New public safety initiative reduces crime rates",0
"School implements successful STEM education program",0
"Local artists receive national recognition",0
"Public library hosts career development workshops",0
"Research shows benefits of early childhood education",0
"Company expands renewable energy investments",0
"Library introduces digital literacy program",0
"Local sports facility hosts community events",0
"City implements successful traffic management system",0
"Community organization provides job training",0
"New commercial development creates opportunities",0
"SHOCKING: All historical events were fabricated",1
"One mineral big mining doesn't want you to find",1
"Government hiding eternal life technology",1
"Miracle frequency cures mental illness instantly",1
"Secret documents prove multiple earths exist",1
"All politicians are actors following scripts",1
"New technology can download knowledge to brain",1
"Drinking tea causes kidney failure immediately",1
"World government to be established next year",1
"Free healthcare for everyone announced today",1
"Secret project can predict natural disasters",1
"All private schools to be banned permanently",1
"Ancient civilization had flying cars",1
"Internet to be replaced by neural interface",1
"Local business association promotes local products",0
"Company develops innovative water conservation system",0
"Community organizes environmental awareness campaign",0
"New public art project enhances city beauty",0
"School district improves graduation rates",0
"Local restaurant innovates with farm-to-table menu",0
"Public park adds community event space",0
"Research demonstrates success of community programs",0
"Company implements comprehensive recycling program",0
"Library hosts community discussion forums",0
"Local sports team supports youth development",0
"City announces improvements to public services",0
"Community center offers educational programs",0
"New technology hub attracts startups",0
"BREAKING: All electronic devices to be remotely disabled",1
"Secret government program can control dreams",1
"One spice reverses aging completely",1
"Celebrity reveals they can see the future",1
"Government planning to ban all cash transactions",1
"Miracle plant grows money on its branches",1
"Ancient civilization discovered on ocean floor",1
"All personal photos being used for facial recognition",1
"New app can detect lies with camera only",1
"Drinking this water gives you photographic memory",1
"World leaders planning to erase national borders",1
"Secret technology can make objects weightless",1
"All private property to be redistributed",1
"Internet to require daily loyalty pledges",1
"Local university partners with industry leaders",0
"Company recognized for community contributions",0
"Community organizes successful food festival",0
"New public safety program reduces accidents",0
"School implements innovative teaching methods",0
"Local theater hosts community performances",0
"Public library expands children's programs",0
"Research shows positive community development",0
"Company launches professional development program",0
"Library introduces technology lending program",0
"Local sports complex upgrades facilities",0
"City implements green building standards",0
"Community organization provides social services",0
"New retail development creates local jobs",0
"URGENT: Global economic reset happening tomorrow",1
"Actress reveals secret government beauty program",1
"All banks closing permanently next week",1
"Scientist proves humans can photosynthesize",1
"Secret society controls global media outlets",1
"New law requires daily location tracking",1
"Celebrity nutritionist reveals poisonous foods",1
"Government planning universal basic income",1
"Miracle device can purify any water source",1
"Ancient texts predict technological revolution",1
"All personal data being used for AI training",1
"Secret military project can control time",1
"Drinking soda causes immediate organ failure",1
"Internet companies planning thought police",1
"Local museum offers free educational programs",0
"Company develops eco-friendly transportation",0
"Community celebrates local historical landmarks",0
"New public health initiative improves outcomes",0
"School district enhances security measures",0
"Local artists contribute to public spaces",0
"Public library hosts author series",0
"Research confirms benefits of public parks",0
"Company implements diversity initiatives",0
"Library expands digital access programs",0
"Local sports team engages community",0
"City improves emergency preparedness",0
"Community center offers wellness programs",0
"New business district revitalizes area",0
"SHOCKING: All scientific research is fabricated",1
"One fruit banned in 50 countries for being too healthy",1
"Government hiding free energy technology",1
"Miracle sound heals broken bones instantly",1
"Secret documents prove we're in matrix",1
"All news anchors reading from same script",1
"New technology can erase criminal records",1
"Drinking coffee causes heart attacks immediately",1
"World government announces end of nations",1
"Free housing for everyone being built",1
"Secret project can predict stock market",1
"All private healthcare to be banned",1
"Ancient civilization had holographic technology",1
"Internet to be controlled by world government",1
"Local business network supports entrepreneurs",0
"Company develops sustainable energy solutions",0
"Community organizes cultural exchange program",0
"New public safety campaign successful",0
"School implements character education program",0
"Local restaurant supports local farmers",0
"Public park adds recreational facilities",0
"Research shows community satisfaction high",0
"Company launches innovation lab",0
"Library hosts educational workshops",0
"Local sports facility community programs",0
"City implements traffic safety improvements",0
"Community organization provides assistance",0
"New commercial area attracts investment",0
"After Asia Cup, BCCI takes call on Women’s World Cup: No handshakes with Pakistan
The message to avoid handshakes, at the toss or after the game, was delivered just before the women's team departed for Sri Lanka on Wednesday, BCCI sources said.",1
